cidade,uf,populacao
ParaguaçuPaulista,SãoPaulo,46180
Serrana,SãoPaulo,46166
PonteseLacerda,MatoGrosso,46105
SãoBento,Maranhão,45989
Ipiaú,Bahia,45969
Canela,RioGrandedoSul,45957
Mangaratiba,RiodeJaneiro,45941
Porangatu,Goiás,45866
CasimirodeAbreu,RiodeJaneiro,45864
Imbituba,SantaCatarina,45711
Timbó,SantaCatarina,45703
Jardinópolis,SãoPaulo,45544
Marau,RioGrandedoSul,45523
Xinguara,Pará,45416
Uruará,Pará,45395
Mamanguape,Paraíba,45385
Caeté,MinasGerais,45364
BarradeSãoFrancisco,EspíritoSanto,45301
CurraisNovos,RioGrandedoNorte,45022
Maragogipe,Bahia,44902
BenjaminConstant,Amazonas,44873
ParaíbadoSul,RiodeJaneiro,44741
Orlândia,SãoPaulo,44682
União,Piauí,44649
EspíritoSantodoPinhal,SãoPaulo,44607
Panambi,RioGrandedoSul,44583
PresidenteEpitácio,SãoPaulo,44572
TeotônioVilela,Alagoas,44570
SãoJosédeMipibu,RioGrandedoNorte,44566
Igarapé,MinasGerais,44561
SãoSebastiãodoPassé,Bahia,44554
Garça,SãoPaulo,44429
Queimadas,Paraíba,44388
Seabra,Bahia,44370
Itaberaí,Goiás,44329
SantaRitadoSapucaí,MinasGerais,44226
Amontada,Ceará,44195
VeraCruz,Bahia,44185
Paraty,RiodeJaneiro,44175
NovaViçosa,Bahia,44170
CampinaGrandedoSul,Paraná,44072
CampoVerde,MatoGrosso,44033
ÁguasBelas,Pernambuco,43923
Mombaça,Ceará,43917
Catende,Pernambuco,43778
Tarauacá,Acre,43730
SantaQuitéria,Ceará,43719
Itápolis,SãoPaulo,43536
SãoLourençodoSul,RioGrandedoSul,43501
SantoAntôniodaPatrulha,RioGrandedoSul,43397
VargemGrandedoSul,SãoPaulo,43368
PedraBranca,Ceará,43359
ViscondedoRioBranco,MinasGerais,43351
Rosário,Maranhão,43243
Estreito,Maranhão,43097
Tietê,SãoPaulo,42946
Barreiros,Pernambuco,42866
SantaHelena,Maranhão,42829
Mucuri,Bahia,42729
SantoAntôniodePádua,RiodeJaneiro,42705
RioNegrinho,SantaCatarina,42684
Machado,MinasGerais,42682
Itarema,Ceará,42595
EldoradodoSul,RioGrandedoSul,42490
PortodeMoz,Pará,42456
Paranaíba,MatoGrossodoSul,42401
Itabaianinha,Sergipe,42399
Almenara,MinasGerais,42380
Borba,Amazonas,42328
SantaMariadaBoaVista,Pernambuco,42266
Ituverava,SãoPaulo,42259
Paiçandu,Paraná,42251
Tuntum,Maranhão,42242
SãoFranciscodeItabapoana,RiodeJaneiro,42214
Ipu,Ceará,42148
AmarantedoMaranhão,Maranhão,42017
EntreRios,Bahia,42014
